user_id,life_app_personal_ref_code,life_app_ref_code
2,viAc1dUO,tuancao
3,9n3EPuhe,1
11,7NejqX32,9n3EPuhe
17,OfiGvMwX,tuancao
18,F2evBDdY,phSOFlMA
20,tuancao,pETS4zMn
21,llf5Iyn0,tuancao
22,fy2RHmBg,tuancao
23,BvLRFtVq,QALIFEAI
24,yfmCfewv,tuancao
31,C4Fq72Ih,CM9iK8SK
33,IdzIEzIW,lifeai
34,XANuloyI,lifeai
35,ybkA17cP,IdzIEzIW
36,kzaVRQPt,IdzIEzIW
37,sO2Kjpvg,XANuloyI
38,2nf70ALI,XANuloyI
39,JZBlYOoC,ybkA17cP
40,GxYZgkED,JZBlYOoC
41,pETS4zMn,JZBlYOoC
42,Cii829TQ,GxYZgkED
43,SIRPyYtg,Cii829TQ
44,phSOFlMA,Cii829TQ
47,RzbgUfIq,OfiGvMwX
49,BzcF6OSl,tuancao
51,vDTOTT9L,QALIFEAI
53,tfXJzmL5,RzbgUfIq
54,Te6zQTeY,RzbgUfIq
55,CM9iK8SK,RzbgUfIq
56,MBXAzITT,RzbgUfIq
57,Aan8GTHr,tfXJzmL5
58,2LF1sM9n,Te6zQTeY
59,X3OtK0Dh,CM9iK8SK
60,IslWBgbG,CM9iK8SK
61,WD3rE3XY,Aan8GTHr
62,D3cq4hLt,Aan8GTHr
63,jrZyCjU7,2LF1sM9n
64,ZBH3OBUG,2LF1sM9n
65,1WlxPEDZ,MBXAzITT
66,Sm5sbxSQ,MBXAzITT
67,QH0ARgw2,tuancao
68,4s6wkhNu,BvLRFtVq
69,sR2fx6ql,BvLRFtVq
76,fID0Qhzr,SIRPyYtg
78,NV92pNXC,aJWelMwB
80,BVBLSTDz,fID0Qhzr
81,Z77uHITz,fID0Qhzr
82,iOR4wo1v,BVBLSTDz
83,rEU4ncDx,tuancao
84,ciQsArvl,tuancao
87,sZMPAWJH,tuancao
89,3yybeqgQ,fID0Qhzr
90,SsM9pf29,SIRPyYtg
91,sWjj5lVT,iOR4wo1v
93,FTv33sYh,ZAZ6OLyX
94,6cRYEMBT,sWjj5lVT
95,dS7KScZ8,SsM9pf29
96,n6aMZxgR,hko8hyvb
97,ZAZ6OLyX,Z77uHITz
99,JNYtSgh7,dZNeHoqC
100,FUJi4Q89,qo5W6Kno
101,s4GcjPJq,Z77uHITz
102,Y8V0jGWx,3jHamwCM
103,qo5W6Kno,SIRPyYtg
105,b6UcI4Al,SIRPyYtg
106,vTp5EGEF,4XZuQAzI
